|0000|006|1||E63F12C673C9EB8A8C9C41FE11EFE82FDD0EFB880|01012022|31012022|FM MODEL TRANSPORTES LTDA|05367368000106|SP|3523909||00|1|
|0001|0|
|0110|1|2|1||
|0111|0|0|0|0|0|
|0150|5EP0WH4PN|TACOVEL INSTRUMENTOS DE PRECISAO LTDA|1058|54455373000267||387120600117|3523909||AV CAETANO RUGGIERI|3399||PARQUE N.SRA DA CANDELARIA|
|0150|68F0WQJVW|COMBUSTIVEIS CADIESEL|1058|00404539000106||282881557|5003702||ROD BR 163 KM 196  320 M|S/N||ZONA RURAL|
|0150|6970WF37W|FACCHINI S.A.|1058|03509978004169||273008147110|3512506||RUA JOSE BELTRAN|800||BAIXOTES|
|0150|5W80TAOG6|AKL PECAS PARA CAMINHOES LTDA|1058|16718544000123||9060522291|4115200||MARGINAL RODOLFO CREMM|2424||CONJ HABITACIONAL REQUIAO|
|0150|5W80T8TFQ|COLE LOG IMP EXP ARMAZENAGEM TRANSPORTES E LOGISTICA EIRELI|1058|14492954000173||206147440117|3505708||RUA JUSSARA|1925||JARDIM SANTA CECILIA|
|0150|5WN10M04S|DIAFER EIRELI|1058|04798677000500||371239899118|3522307||RUA PADRE ALBUQUERQUE|931||CENTRO|
|0150|6970WEVY4|ITU GESSO LTDA - EPP|1058|74695206000110||387070834114|3523909||DR. ERMELINDO MAFFEI|423||BAIRRO CHAFARIZ|
|0150|6400YIHOH|BALÊ PEÇAS E EQUIPAMENTOS LTDA|1058|54848072000112||387035791118|3523909||RUA JOAQUIM BERNARDES BORGES|691||VILA NOVA|
|0150|6970WE33R|SOMA AUTOMOVEIS LTDA - FIAT ITAPET|1058|12862012000880||371312666111|3522307||RUA PROFESSOR FRANCISCO VALIO|1589||CENTRO|
|0150|61Q0Y8L08|CONCREBASE SERVICOS DE CONCRETAGEM LTDA|1058|55204002001751||387296406115|3523909||AV EUGEN WISSMANN|2040||BAIRRO JARDIM AEROPO|
|0150|5W80T9EXM|AUTO POSTO NOVO AGUA LIMPA LTDA|1058|36253629000190||204271669113|3505500||RODOVIA BRIGADEIRO FARIA LIMA|S/N|KM 447 MAIS 30 METRO|ZONA RURAL|
|0150|5YE10VHSQ|POSTO MINAS GERAIS ARCOS LTDA - ME|1058|26515785000129||0028613670091|3104205||ROD BR 354 KM 484|484|PREDIO|ZONA RURAL|
|0150|5W80T9SR9|AUTO POSTO TRACY ANNE LTDA|1058|07561621000193||293948917|1702208||ROD TRANSAMAZONICA KM 130|0||CENTRO|
|0150|68F0WQY67|MARIA CELINA DO CARMO BASAGLIA EIRELI - EPP|1058|04715469000168||283201959|5008305||AV RANULPHO MARQUES|170||JD DOS IPES|
|0150|61Q0Y4B48|REDE DE POSTOS MARAJO APARECIDA DE GOIANIA LTDA|1058|05443159000102||103577815|5201405||RODOVIA BR 153|SN|KM 516|ROSA DOS VENTOS|
|0150|60T0XW42K|M.J.A. MORAES-EPP|1058|38915815000173||387054467118|3523909||ROD CASTELO BRANCO SN  KM|00074||BAIRRO VAREJAO|
|0150|5FJ0MZOOG|DNT DISTR NACIONAL DE TURBOS LTDA|1058|02697778000127||115233985116|3550308||RUA RODOVALHO DA FONSECA|176|180|PARI|
|0150|5W80T9V6R|AUTO POSTO ALIANZ - EIRELI - ME|1058|20978403000117||294849270|1700350||R EMANESCENTE DO LT 01 QD 15 LT 01|S/N||LOTEAMENTO PARQUE UN|
|0150|6970WFMS1|IVECANIA MECANICA DIESEL LTDA|1058|10792980000166||133710017|5107602||ROD BR 364 KM 210  700 METROS|S/N||AREAS PERIFERICAS|
|0150|5EP0WHP4O|J X AUTO VIDRO LTDA ME|1058|02182828000133||387090589113|3523909||RUA MAESTRO ISAIAS SPARANINZE BELCUFINE|242||JARDIM PADRE BENTO|
|0150|5FK0NFU5B|REDE DE POSTOS MARAJO GRANDE GOIANIA LTDA|1058|20940512000145||106387626|5209705||ROD BR 153|0|KM 540|ZONA RURAL|
|0150|5EP0WFA0O|VIA TRUCKS GUARULHOS COMERCIO DE CAMINHOES LTDA|1058|18703805000167||796132683118|3518800||R GUARULHOSARUJA|544||JARDIM ALAMO|
|0150|5W80TB4W2|PETRONAS LUBRIFICANTES BRASIL S.A.|1058|03613421001581||796982092118|3518800||EST VELHA GUARULHOSS|3241||JARDIM ARAPONGAS|
|0150|5XO0WFZAS|PIONEIRO DIESEL AUTO PECAS LTDA EPP EIRELI|1058|04154156000188||147186389119|3550308||RUA CORONEL VIRGILIO DOS SANTOS|225||VL. JAGUARA|
